epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
10,0,1,1,0.3,5,3,0.25,0.25,8.259856462,"[[47  8]
 [ 8 27]]",0.822222222,0.771428571,0.854545455,0.771428571
10,0,1,1,0.3,5,6,0.25,0.25,12.40061545,"[[47  8]
 [ 8 27]]",0.822222222,0.771428571,0.854545455,0.771428571
10,0,1,1,0.3,13,3,0.25,0.25,10.02759814,"[[47  8]
 [ 8 27]]",0.822222222,0.771428571,0.854545455,0.771428571
10,0,1,1,0.3,13,6,0.25,0.25,15.33620811,"[[47  8]
 [ 8 27]]",0.822222222,0.771428571,0.854545455,0.771428571
10,0,1,3,0.1,5,3,0.25,0.25,8.72561574,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,3,0.1,5,6,0.25,0.25,11.78012109,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,3,0.1,13,3,0.25,0.25,10.90472031,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,3,0.1,13,6,0.25,0.25,14.86509585,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,3,0.3,5,3,0.25,0.25,9.530930042,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,3,0.3,5,6,0.25,0.25,12.45858145,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,3,0.3,13,3,0.25,0.25,11.21969128,"[[47  8]
 [ 8 27]]",0.822222222,0.771428571,0.854545455,0.771428571
10,0,1,3,0.3,13,6,0.25,0.25,15.36614823,"[[47  8]
 [ 8 27]]",0.822222222,0.771428571,0.854545455,0.771428571
10,0,1,5,0.1,5,3,0.25,0.25,10.06404448,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.1,5,6,0.25,0.25,14.13028216,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.1,13,3,0.25,0.25,13.93888497,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.1,13,6,0.25,0.25,16.45075369,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.3,5,3,0.25,0.25,10.40337849,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.3,5,6,0.25,0.25,13.37417459,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.3,13,3,0.25,0.25,12.22000623,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,1,5,0.3,13,6,0.25,0.25,16.13320875,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.1,5,3,0.25,0.25,10.39363265,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.1,5,6,0.25,0.25,10.46818614,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.1,13,3,0.25,0.25,11.61708355,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.1,13,6,0.25,0.25,13.79756904,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.3,5,3,0.25,0.25,10.72463727,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.3,5,6,0.25,0.25,10.26288462,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.3,13,3,0.25,0.25,11.57798743,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,0,0.3,13,6,0.25,0.25,11.68018889,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.1,5,3,0.25,0.25,11.5920167,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.1,5,6,0.25,0.25,11.38212514,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.1,13,3,0.25,0.25,11.88118649,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.1,13,6,0.25,0.25,13.81222677,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.3,5,3,0.25,0.25,11.07752347,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.3,5,6,0.25,0.25,11.08813119,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.3,13,3,0.25,0.25,11.99048233,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,1,0.3,13,6,0.25,0.25,12.36815381,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.1,5,3,0.25,0.25,12.18565655,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.1,5,6,0.25,0.25,12.71384048,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.1,13,3,0.25,0.25,13.608289,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.1,13,6,0.25,0.25,13.62363338,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
