,epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
0,10,0,0,0,0.1,5,3,0.25,0.25,6.250570774078369,"[[61  5]
 [ 8 16]]",0.8555555555555555,0.7619047619047619,0.9242424242424242,0.7111111111111111
1,10,0,0,0,0.1,5,6,0.25,0.25,23.026673793792725,"[[60  6]
 [ 8 16]]",0.8444444444444444,0.7272727272727273,0.9090909090909092,0.6956521739130435
2,10,0,0,0,0.1,13,3,0.25,0.25,30.32124614715576,"[[60  6]
 [ 7 17]]",0.8555555555555555,0.7391304347826086,0.9090909090909092,0.723404255319149
3,10,0,0,0,0.1,13,6,0.25,0.25,50.672964572906494,"[[58  8]
 [ 7 17]]",0.8333333333333334,0.68,0.8787878787878788,0.6938775510204083
4,10,0,0,0,0.3,5,3,0.25,0.25,56.54465293884277,"[[58  8]
 [ 7 17]]",0.8333333333333334,0.68,0.8787878787878788,0.6938775510204083
5,10,0,0,0,0.3,5,6,0.25,0.25,72.91932511329651,"[[57  9]
 [ 6 18]]",0.8333333333333334,0.6666666666666666,0.8636363636363636,0.7058823529411765
6,10,0,0,0,0.3,13,3,0.25,0.25,80.58557152748108,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
7,10,0,0,0,0.3,13,6,0.25,0.25,100.7396364212036,"[[57  9]
 [ 6 18]]",0.8333333333333334,0.6666666666666666,0.8636363636363636,0.7058823529411765
8,10,0,0,1,0.1,5,3,0.25,0.25,107.48175358772278,"[[57  9]
 [ 6 18]]",0.8333333333333334,0.6666666666666666,0.8636363636363636,0.7058823529411765
9,10,0,0,1,0.1,5,6,0.25,0.25,123.11385416984558,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
10,10,0,0,1,0.1,13,3,0.25,0.25,132.01012063026428,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
11,10,0,0,1,0.1,13,6,0.25,0.25,150.3823847770691,"[[59  7]
 [ 6 18]]",0.8555555555555555,0.72,0.8939393939393939,0.7346938775510204
12,10,0,0,1,0.3,5,3,0.25,0.25,157.7178213596344,"[[60  6]
 [ 6 18]]",0.8666666666666667,0.75,0.9090909090909092,0.75
13,10,0,0,1,0.3,5,6,0.25,0.25,172.45457124710083,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
14,10,0,0,1,0.3,13,3,0.25,0.25,181.5806488990784,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
15,10,0,0,1,0.3,13,6,0.25,0.25,200.2849314212799,"[[57  9]
 [ 6 18]]",0.8333333333333334,0.6666666666666666,0.8636363636363636,0.7058823529411765
16,10,0,0,3,0.1,5,3,0.25,0.25,208.3295395374298,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
17,10,0,0,3,0.1,5,6,0.25,0.25,220.85584115982056,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
18,10,0,0,3,0.1,13,3,0.25,0.25,230.6931586265564,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
19,10,0,0,3,0.1,13,6,0.25,0.25,247.94393610954285,"[[57  9]
 [ 6 18]]",0.8333333333333334,0.6666666666666666,0.8636363636363636,0.7058823529411765
20,10,0,0,3,0.3,5,3,0.25,0.25,256.4229018688202,"[[58  8]
 [ 6 18]]",0.8444444444444444,0.6923076923076923,0.8787878787878788,0.7199999999999999
21,10,0,0,3,0.3,5,6,0.25,0.25,8.312415361404419,"[[42 17]
 [10 21]]",0.7,0.5526315789473685,0.711864406779661,0.6086956521739131
22,10,0,0,3,0.3,13,3,0.25,0.25,5.986513614654541,"[[47  8]
 [ 9 26]]",0.8111111111111111,0.7647058823529411,0.8545454545454545,0.7536231884057971
23,10,0,0,3,0.3,13,6,0.25,0.25,11.615761280059814,"[[47  8]
 [ 6 29]]",0.8444444444444444,0.7837837837837838,0.8545454545454545,0.8055555555555555
24,10,0,0,5,0.1,5,3,0.25,0.25,4.88010048866272,"[[46  9]
 [ 6 29]]",0.8333333333333334,0.7631578947368421,0.8363636363636363,0.7945205479452055
25,10,0,0,5,0.1,5,6,0.25,0.25,7.514087438583374,"[[47  8]
 [ 6 29]]",0.8444444444444444,0.7837837837837838,0.8545454545454545,0.8055555555555555
26,10,0,0,5,0.1,13,3,0.25,0.25,6.787230014801025,"[[47  8]
 [ 6 29]]",0.8444444444444444,0.7837837837837838,0.8545454545454545,0.8055555555555555
27,10,0,0,5,0.1,13,6,0.25,0.25,11.595141410827637,"[[47  8]
 [ 6 29]]",0.8444444444444444,0.7837837837837838,0.8545454545454545,0.8055555555555555
28,10,0,0,5,0.3,5,3,0.25,0.25,5.260996580123901,"[[47  8]
 [ 6 29]]",0.8444444444444444,0.7837837837837838,0.8545454545454545,0.8055555555555555
29,10,0,0,5,0.3,5,6,0.25,0.25,7.561427116394043,"[[47  8]
 [ 6 29]]",0.8444444444444444,0.7837837837837838,0.8545454545454545,0.8055555555555555
30,10,0,0,5,0.3,13,3,0.25,0.25,6.925639390945435,"[[46  9]
 [ 6 29]]",0.8333333333333334,0.7631578947368421,0.8363636363636363,0.7945205479452055
31,10,0,0,5,0.3,13,6,0.25,0.25,10.654973983764648,"[[46  9]
 [ 6 29]]",0.8333333333333334,0.7631578947368421,0.8363636363636363,0.7945205479452055
32,10,0,1,0,0.1,5,3,0.25,0.25,6.471467733383179,"[[46  9]
 [ 6 29]]",0.8333333333333334,0.7631578947368421,0.8363636363636363,0.7945205479452055
33,10,0,1,0,0.1,5,6,0.25,0.25,10.49053406715393,"[[46  9]
 [ 7 28]]",0.8222222222222222,0.7567567567567568,0.8363636363636363,0.7777777777777778
34,10,0,1,0,0.1,13,3,0.25,0.25,8.50993537902832,"[[46  9]
 [ 7 28]]",0.8222222222222222,0.7567567567567568,0.8363636363636363,0.7777777777777778
35,10,0,1,0,0.1,13,6,0.25,0.25,13.036396026611328,"[[46  9]
 [ 7 28]]",0.8222222222222222,0.7567567567567568,0.8363636363636363,0.7777777777777778
36,10,0,1,0,0.3,5,3,0.25,0.25,6.924386739730835,"[[46  9]
 [ 7 28]]",0.8222222222222222,0.7567567567567568,0.8363636363636363,0.7777777777777778
37,10,0,1,0,0.3,5,6,0.25,0.25,11.864976644515991,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
38,10,0,1,0,0.3,13,3,0.25,0.25,8.77603554725647,"[[46  9]
 [ 8 27]]",0.8111111111111111,0.75,0.8363636363636363,0.7605633802816902
39,10,0,1,0,0.3,13,6,0.25,0.25,13.541930675506592,"[[46  9]
 [ 8 27]]",0.8111111111111111,0.75,0.8363636363636363,0.7605633802816902
40,10,0,1,1,0.1,5,3,0.25,0.25,7.63655161857605,"[[46  9]
 [ 8 27]]",0.8111111111111111,0.75,0.8363636363636363,0.7605633802816902
41,10,0,1,1,0.1,5,6,0.25,0.25,11.536890029907228,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
42,10,0,1,1,0.1,13,3,0.25,0.25,9.765861749649048,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
43,10,0,1,1,0.1,13,6,0.25,0.25,15.046812534332275,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
44,10,0,1,1,0.3,5,3,0.25,0.25,8.259856462478638,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
45,10,0,1,1,0.3,5,6,0.25,0.25,12.400615453720093,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
46,10,0,1,1,0.3,13,3,0.25,0.25,10.0275981426239,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
47,10,0,1,1,0.3,13,6,0.25,0.25,15.33620810508728,"[[47  8]
 [ 8 27]]",0.8222222222222222,0.7714285714285715,0.8545454545454545,0.7714285714285715
48,10,0,1,3,0.1,5,3,0.25,0.25,8.725615739822388,"[[47  8]
 [ 7 28]]",0.8333333333333334,0.7777777777777778,0.8545454545454545,0.7887323943661971
49,10,0,1,3,0.1,5,6,0.25,0.25,11.780121088027954,"[[47  8]
 [ 7 28]]",0.8333333333333334,0.7777777777777778,0.8545454545454545,0.7887323943661971
50,10,0,1,3,0.1,13,3,0.25,0.25,10.904720306396484,"[[47  8]
 [ 7 28]]",0.8333333333333334,0.7777777777777778,0.8545454545454545,0.7887323943661971
51,10,0,1,3,0.1,13,6,0.25,0.25,14.865095853805542,"[[47  8]
 [ 7 28]]",0.8333333333333334,0.7777777777777778,0.8545454545454545,0.7887323943661971
52,10,0,1,3,0.3,5,3,0.25,0.25,9.530930042266846,"[[47  8]
 [ 7 28]]",0.8333333333333334,0.7777777777777778,0.8545454545454545,0.7887323943661971
53,10,0,1,3,0.3,5,6,0.25,0.25,12.458581447601318,"[[47  8]
 [ 7 28]]",0.8333333333333334,0.7777777777777778,0.8545454545454545,0.7887323943661971
